ECH;Famille;Genre;Espèce;Sexe;Espece_Conc;Parrain;Coll.;Dét.;ID;Commune;Addresse;Latitude;Longitude;Nombre de nid;Longueur des nids;Largeur Trottoir;date observation;Type de pavés;Situation des nids;remarque;more_1 mm;btw_1mm_500µm;btw_500-200µm;btw_200-100µm;btw_100-50µm;less_50µm
1;Halictidae;Lasioglossum;laticeps;female;Lasioglossum_laticeps;(Schenck 1868);G. Noël;J. Bonnet;;Ixelles;Rue du Viaduc 126;50,8348832;4,3733978;5;1;;08.IV.2020;Dalles béton;Pas de maison;Découverte;5,872483221;8,053691275;40,60402685;31,04026846;11,24161074;3,187919463
4;Halictidae;Lasioglossum;laticeps;female;Lasioglossum_laticeps;(Schenck 1868);G. Noël;J. Bonnet;;Ixelles;Rue du Viaduc, 140-142;50,8331271;4,3696591;20;12;;08.IV.2020;Dalles béton;Trottoir;Découverte;4,066073698;7,878017789;49,04701398;27,06480305;9,783989835;2,160101652
5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;5;Ixelles;Rue Wéry 40;50,8309827;4,3759178;50;3;;10.IV.2020;Pavés grès;Trottoir;Formulaire;3,35243553;10,51575931;47,93696275;28,30945559;6,819484241;3,065902579
6;Halictidae;Lasioglossum;laticeps;female;Lasioglossum_laticeps;(Schenck 1868);G. Noël;J. Bonnet;6;Ville de Bruxelles;Rue du Tenbosch 9;50,8239094;4,366009;10;2;;11.IV.2020;Dalles béton;Pas de maison_Trottoir;Formulaire;3,35243553;10,51575931;47,93696275;28,30945559;6,819484241;3,065902579
7;Halictidae;Lasioglossum;laticeps;female;Lasioglossum_laticeps;(Schenck 1868);G. Noël;J. Bonnet;7;Etterbeek;Rue Baron Lambert, 36-38;50,8351064;4,3890935;2 0;10;;10.IV.2020;Pavés grès;Pas de maison;Découverte;1,515151515;4,882154882;59,76430976;25,92592593;5,050505051;2,861952862
8;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;8;Etterbeek;Rue Dekens entre les numéros 13-15;50,8386476;4,387793;3;7;;10.IV.2020;Dalles béton;Trottoir;Découverte;2,583798883;5,586592179;38,40782123;37,98882682;12,70949721;2,723463687
10;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;10;Schaerbeek;Avenue Maréchal Foch, 2-20;50,8683757;4,3744113;400;50;2;22.IV.2020;Pavés;Trottoir;Formulaire;0,795311846;3,202176643;42,82126413;29,21724571;22,62452909;1,339472583
11;Halictidae;Lasioglossum;laticeps;female;Lasioglossum_laticeps;(Schenck 1868);G. Noël;J. Bonnet;11;Woluwé-Saint-Lambert;Rue Madyol 2;50,840971;4,4332703;20;5;;10.IV.2020;Pavés grès/calcaire;Pas de maison_Trottoir;Découverte;5,518169583;6,66218035;60,0269179;21,53432032;4,710632571;1,547779273
13;Andrenidae;Andrena;vaga;female;Andrena_vaga;Panzer 1799;G. Noël;G. Noël;13;Uccle;Avenue Bonaparte, 69;50,7862911;4,3623205;50;6;;11.IV.2020;Dalles béton;Trottoir_Talus;Site_Pot;3,33707235;20,55524397;24,36904094;33,67919237;13,93718452;4,122265844
14;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;14;Etterbeek;Rue Dekens entre les numéros 7-11;50,8387758;4,387673;8;5;;10.IV.2020;Pavés grès;Trottoir;Découverte;2,313911347;5,045999442;27,01421801;43,90855868;16,81070532;4,906607193
