ECH;Size;Family;Genus;Species;Sex;Espece_Conc;Line;Coll.;Det.;ID;Municipality;Address;Latitude;Longitude;Nest number;Nest length [m];Nest size [m];Date;P;Pavement type;Pavement location
5;2;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;5;Ixelles;Rue Wéry 40;50,8309827;4,3759178;50;3;;10.IV.2020;15h00;Pavés grès;Trottoir
5;1,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;5;Ixelles;Rue Wéry 40;50,8309827;4,3759178;50;3;;10.IV.2020;15h00;Pavés grès;Trottoir
5;0,7;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;5;Ixelles;Rue Wéry 40;50,8309827;4,3759178;50;3;;10.IV.2020;15h00;Pavés grès;Trottoir
5;1,4;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;5;Ixelles;Rue Wéry 40;50,8309827;4,3759178;50;3;;10.IV.2020;15h00;Pavés grès;Trottoir
5;1,6;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;5;Ixelles;Rue Wéry 40;50,8309827;4,3759178;50;3;;10.IV.2020;15h00;Pavés grès;Trottoir
5;0,7;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;5;Ixelles;Rue Wéry 40;50,8309827;4,3759178;50;3;;10.IV.2020;15h00;Pavés grès;Trottoir
8;1,1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;8;Etterbeek;Rue Dekens entre les numéros 13-15;50,8386476;4,387793;3;7;;10.IV.2020;13h30;Dalles béton;Trottoir
8;1,2;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;9;Etterbeek;Rue Dekens entre les numéros 13-16;50,8386476;4,387793;3;7;;10.IV.2021;13h31;Dalles béton;Trottoir
8;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;10;Etterbeek;Rue Dekens entre les numéros 13-17;50,8386476;4,387793;3;7;;10.IV.2022;13h32;Dalles béton;Trottoir
10;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;10;Schaerbeek;Avenue Maréchal Foch, 2-20;50,8683757;4,3744113;400;50;2;22.IV.2020;13h30;Pavés;Trottoir
